docente,titulo,revista,año,mes,DOI,URL,editorial,volumen,numero,paginas,autores
RAMOS POLLAN RAUL,GBRAS-Net: A Convolutional Neural Network Architecture for Spatial Image Steganalysis,IEEE Access,2021,,10.1109/access.2021.3052494,https://doi.org/10.1109%2Faccess.2021.3052494,Institute of Electrical and Electronics Engineers (IEEE),9,,14340--14350,Tabares-Soto Reinel and Arteaga-Arteaga Harold Brayan and Bravo-Ortiz Mario Alejandro and Mora-Rubio Alejandro and Arias-Garzon Daniel and Alzate-Grisales Jesus Alejandro and Burbano-Jacome Alejandro Buenaventura and Orozco-Arias Simon and Isaza Gustavo and Ramos-Pollan Raul
RAMOS POLLAN RAUL,Sensitivity of deep learning applied to spatial image steganalysis,PeerJ Computer Science,2021,aug,10.7717/peerj-cs.616,https://doi.org/10.7717%2Fpeerj-cs.616,PeerJ,7,,e616,Reinel Tabares-Soto and Harold Brayan Arteaga-Arteaga and Alejandro Mora-Rubio and Mario Alejandro Bravo-Ortiz and Daniel Arias-Garzon and Jesus Alejandro Alzate-Grisales and Simon Orozco-Arias and Gustavo Isaza and Raul Ramos-Pollan
RAMOS POLLAN RAUL,Ensemble-based approach for semisupervised learning in remote sensing,Journal of Applied Remote Sensing,2021,aug,10.1117/1.jrs.15.034509,https://doi.org/10.1117%2F1.jrs.15.034509,SPIE-Intl Soc Optical Eng,15,03,,Miguel Plazas and Raul Ramos-Pollan and Fabio Martinez
BOTIA VALDERRAMA JAVIER FERNANDO,Fuzzy cellular automata and intuitionistic fuzzy sets applied to an optical frequency comb spectral shape,Engineering Applications of Artificial Intelligence,2017,,,,,62,,181-194,"Botia, J.F. and Cardenas, A.M. and Sierra, C.M."
BOTIA VALDERRAMA JAVIER FERNANDO,Performance of WDM-OFDM for Using Unequalized Optical Frequency Comb,IEEE Latin America Transactions,2015,,,,,13,8,2551-2558,"Villarreal, G.D. and Cardenas, A.M. and Botia, J.F."
BOTIA VALDERRAMA JAVIER FERNANDO,Automaton based on fuzzy clustering methods for monitoring industrial processes,Engineering Applications of Artificial Intelligence,2013,,,,,26,4,1211-1220,"Botia, J.F. and Isaza, C. and Kempowsky, T. and Le Lann, M.V. and Aguilar-Martin, J."
MAESTRE GONGORA GINA PAOLA,The value of open data government: a quality assessment approach,"Revista de Investigacion, Desarrollo e Innovacion",2021,aug,10.19053/20278306.v11.n3.2021.13348,https://doi.org/10.19053%2F20278306.v11.n3.2021.13348,Universidad Pedagogica y Tecnologica de Colombia,11,3,507--518,Gina Maestre-Gongora and Adriana Rangel-Carrillo and Mariutsi Osorio-Sanabria
MAESTRE GONGORA GINA PAOLA,Analysis of the energy service in non-interconnected zones of Colombia using business intelligence,Cogent Engineering,2021,jan,10.1080/23311916.2021.1907970,https://doi.org/10.1080%2F23311916.2021.1907970,Informa UK Limited,8,1,1907970,Ramon Fernando Colmenares-Quintero and Gina Paola Maestre-Gongora and Lina Judith Pacheco-Moreno and Natalia Rojas and Kim E. Stansfield and Juan Carlos Colmenares-Quintero
MAESTRE GONGORA GINA PAOLA,Mapping concept and challenges for smart technologies: A systematic study approach,RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,2020,,,,,2020,E32,28-40,"Maestre-Gongora, G. and Colmenares-Quintero, R.F. and Stansfield, K."
MAESTRE GONGORA GINA PAOLA,"Smart university: Characterization of the current situation of intelligent technologies, based on two case studies,Caracterizacion de la situacion actual de las tecnologias inteligentes para una universidad inteligente en Colombia/latinoamerica",RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,2020,,,,,2020,E27,484-501,"Rico-Bautista, D. and Maestre-Gongora, G.P. and Guerrero, C.D."
