docente,titulo,revista,año,mes,DOI,URL,editorial,volumen,numero,paginas,autores
ARIAS LONDOÑO JULIAN DAVID,Artificial Intelligence Applied to Chest X-Ray Images for the Automatic Detection of COVID-19. A Thoughtful Evaluation Approach,IEEE Access,2020,,10.1109/access.2020.3044858,https://doi.org/10.1109%2Faccess.2020.3044858,Institute of Electrical and Electronics Engineers (IEEE),8,,226811--226827,Julian D. Arias-Londono and Jorge A. Gomez-Garcia and Laureano Moro-Velazquez and Juan I. Godino-Llorente
ARIAS LONDOÑO JULIAN DAVID,Common disbalance in the brain parenchyma of dementias: Phospholipid profile analysis between CADASIL and sporadic Alzheimer's disease,Biochimica et Biophysica Acta - Molecular Basis of Disease,2020,,,,,1866,8,,"Sabogal-Guáqueta, A.M. and Arias-Londoño, J.D. and Gutierrez-Vargas, J. and Sepulveda-Falla, D. and Glatzel, M. and Villegas-Lanau, A. and Cardona-Gómez, G.P."
ARIAS LONDOÑO JULIAN DAVID,Differential Profile of Systemic Extracellular Vesicles From Sporadic and Familial Alzheimer?s Disease Leads to Neuroglial and Endothelial Cell Degeneration,Frontiers in Aging Neuroscience,2020,,,,,12,,,"Villar-Vesga, J. and Henao-Restrepo, J. and Voshart, D.C. and Aguillon, D. and Villegas, A. and Castaño, D. and Arias-Londoño, J.D. and Zuhorn, I.S. and Ribovski, L. and Barazzuol, L. and Cardona-Gómez, G.P. and Posada-Duque, R."
ARIAS LONDOÑO JULIAN DAVID,Multimodal and Multi-Output Deep Learning Architectures for the Automatic Assessment of Voice Quality Using the GRB Scale,IEEE Journal of Selected Topics in Signal Processing,2020,feb,10.1109/jstsp.2019.2956410,https://doi.org/10.1109%2Fjstsp.2019.2956410,Institute of Electrical and Electronics Engineers (IEEE),14,2,413--422,Julian D. Arias-Londono and Jorge A. Gomez-Garcia and Juan I. Godino-Llorente
ARIAS LONDOÑO JULIAN DAVID,Sentiment Analysis of News Articles in Spanish using Predicate Features,Lenguaje,2019,jul,10.25100/lenguaje.v47i2.7937,https://doi.org/10.25100%2Flenguaje.v47i2.7937,Universidad del Valle,47,2,235--267,Antonio Tamayo and Julián Arias Londoño and Diego Burgos and Gabriel Quiroz
ARIAS LONDOÑO JULIAN DAVID,Changes in the hippocampal and peripheral phospholipid profiles are associated with neurodegeneration hallmarks in a long-term global cerebral ischemia model: Attenuation by Linalool,Neuropharmacology,2018,,,,,135,,555-571,"Sabogal-Guáqueta, A.M. and Posada-Duque, R. and Cortes, N.C. and Arias-Londoño, J.D. and Cardona-Gómez, G.P."
ARIAS LONDOÑO JULIAN DAVID,Differential Pattern of Phospholipid Profile in the Temporal Cortex from E280A-Familiar and Sporadic Alzheimer's Disease Brains,Journal of Alzheimer's Disease,2018,,,,,61,1,209-219,"Villamil-Ortiz, J.G. and Barrera-Ocampo, A. and Arias-Londoño, J.D. and Villegas, A. and Lopera, F. and Cardona-Gómez, G.P."
ARIAS LONDOÑO JULIAN DAVID,Automatic detection of Parkinson's disease in running speech spoken in three different languages,The Journal of the Acoustical Society of America,2016,,,,,139,1,481--500,"Orozco-Arroyave, JR and  Hönig, F and  Arias-Londono, JD and  Vargas-Bonilla, JF and  Daqrouq, K and  Skodda, S and  Rusz, J and  Nöth, E"
ARIAS LONDOÑO JULIAN DAVID,BACE1 RNAi Restores the Composition of Phosphatidylethanolamine-Derivates Related to Memory Improvement in Aged 3xTg-AD Mice,Frontiers in Cellular Neuroscience,2016,,,,,10,,,"Villamil-Ortiz, Javier G. and  Barrera-Ocampo, Alvaro and  Piedrahita, Diego and  Velasquez-Rodriguez, Claudia M. and  Arias-Londono, Julian D. and  Cardona-Gomez, Gloria P."
ARIAS LONDOÑO JULIAN DAVID,On-line signature verification using Gaussian Mixture Models and small-sample learning strategies/Verificacion de firmas en lnea usando modelos de mezcla Gaussianas y estrategias de aprendizaje para conjuntos pequenos de muestras,Revista Facultad de Ingeniera Universidad de Antioquia,2016,,,,,,79,14,"Zapata-Zapata, Gabriel Jaime and  Arias-Londono, Julián David and  Vargas-Bonilla, Jesus Francisco and  Orozco-Arroyave, Juan Rafael"
ARIAS LONDOÑO JULIAN DAVID,Automatic Emotion Recognition in Compressed Speech Using Acoustic and Non-Linear Features,"2015 20th Symposium on Signal Processing, Images and Computer Vision (Stsiva)",2015,,,,,,,,"Garcia, N. and  Vasquez-Correa, J. C. and  Arias-Londono, J. D. and  Vargas-Bonilla, J. F. and  Orozco-Arroyave, J. R."
ARIAS LONDOÑO JULIAN DAVID,"Characterization Methods for the Detection of Multiple Voice Disorders: Neurological, Functional, and Laryngeal Diseases",Ieee Journal of Biomedical and Health Informatics,2015,,,,,19,6,1820-1828,"Rafael Orozco-Arroyave, Juan and  Alexander Belalcazar-Bolanos, Elkyn and  David Arias-Londono, Julian and  Francisco Vargas-Bonilla, Jesus and  Skodda, Sabine and  Rusz, Jan and  Daqrouq, Khaled and  Hoenig, Florian and  Noeth, Elmar"
ARIAS LONDOÑO JULIAN DAVID,Editorial,Revista Facultad de Ingenieria,2015,,,,,2015,77,7-8,"Arias, J.D. and Botero, M.A.G."
ARIAS LONDOÑO JULIAN DAVID,Entropies from Markov Models as Complexity Measures of Embedded Attractors,Entropy,2015,,,,,17,6,3595--3620,"Arias-Londono, Julián D. and  Godino-Llorente, Juan I."
ARIAS LONDOÑO JULIAN DAVID,EVALUACION DE METODOS DE FOURIER Y MAXIMA ENTROPÍA PARA LA DETECCIÓN AUTOMÁTICA DE LA ENFERMEDAD DE PARKINSON.,Journal of Research of the University of Quindio,2015,,,,,27,1,,"Arias Mejía, Juan Manuel and Bolaños, Belalcázar and Alexander, Elkyn and Orozco Arroyave, Juan Rafael and Arias Londoño, Julián David and Vargas Bonilla, Jesús Francisco"
RAMOS POLLAN RAUL,Synthetic data generation with deep generative models to enhance predictive tasks in trading strategies,Research in International Business and Finance,2022,,10.1016/j.ribaf.2022.101747,https://doi.org/10.1016/j.ribaf.2022.101747,,,,,Daniel Carvajal-Patiño; Raul Ramos-Pollán
