docente,titulo,pais,revista,año,mes,paginas,editorial,DOI,ISSN,URL,volumen,numero,autores,cuartil_revista
BOTIA VALDERRAMA JAVIER FERNANDO,AUTOMATON BASED ON FUZZY CLUSTERING METHODS FOR MONITORING INDUSTRIAL PROCESSES,,Engineering Applications of Artificial Intelligence,2013,,1211-1220,Pergamon-Elsevier Science Ltd,,0952-1976,,26.0,4,"Botía, J.F. and Isaza, C. and Kempowsky, T. and Le Lann, M.V. and Aguilar-Martín, J.",Q2
BOTIA VALDERRAMA JAVIER FERNANDO,FUZZY CELLULAR AUTOMATA AND INTUITIONISTIC FUZZY SETS APPLIED TO AN OPTICAL FREQUENCY COMB SPECTRAL SHAPE,,Engineering Applications of Artificial Intelligence,2017,,181-194,Pergamon-Elsevier Science Ltd,http://doi.org/10.1016/j.engappai.2017.04.001,0952-1976,,62.0,,"Botía, J.F. and Cárdenas, A.M. and Sierra, C.M.",Q1
BOTIA VALDERRAMA JAVIER FERNANDO,ON LAMDA CLUSTERING METHOD BASED ON TYPICALITY DEGREE AND INTUITIONISTIC FUZZY SETS,,Expert Systems with Applications,2018,,196 - 221,Pergamon-Elsevier Science Ltd,10.1016/j.eswa.2018.04.022,0957-4174,http://dx.doi.org/10.1016/j.eswa.2018.04.022,,,,Q1
BOTIA VALDERRAMA JAVIER FERNANDO,PERFORMANCE OF WDM-OFDM FOR USING UNEQUALIZED OPTICAL FREQUENCY COMB,Brasil,IEEE Latin America Transactions,2015,,2551-2558,Ieee Computer Society,10.1109/TLA.2015.7331911,1548-0992,,13.0,8,"Villarreal, G.D. and Cárdenas, A.M. and Botia, J.F.",Q3
BOTIA VALDERRAMA JAVIER FERNANDO,"PROPIEDADES ELECTRÓNICAS DEL ORO, GERMANIO Y FÓSFORO A PARTIR DE LA ESTRUCTURA DE BANDAS Y DENSIDAD DE ESTADOS",Colombia,Schriftenreihe Unfall- und Sicherheitsforschung Strassenverkehr,2008,,166 - 166,Publicacion De La Sociedad Colombiana De Fisica,,0341-5732,,,,,
BOTIA VALDERRAMA JAVIER FERNANDO,TWO CLUSTER VALIDITY INDICES FOR THE LAMDA CLUSTERING METHOD,,Applied Soft Computing,2020,,1 - 25,Elsevier,10.1016/j.asoc.2020.106102,1568-4946,http://dx.doi.org/10.1016/j.asoc.2020.106102,,,,Q1
BUITRAGO PANIAGUA JOHN BYRON,DISEÑO DE UN SISTEMA DE BAJO COSTO PARA LA AUTOMATIZACIÓN DE MEDIDAS EN EXPERIMENTOS DE FÍSICA. ¿LABGICM¿,Colombia,REVISTA COLOMBIANA DE FISICA,2006,,850 - 853,Pontificia Universidad Javeriana,,0120-2650,,,,,
BUITRAGO PANIAGUA JOHN BYRON,"SISTEMA BASADO EN PLC PARA CONTROL, MONITOREO Y ALMACENAMIENTO DE DATOS DE TEMPERATURA DE UN COLECTOR SOLAR PARABOLOIDE COMPUESTO",Colombia,Energética,2005,,33 - 38,Universidad Nacional de Colombia,,0120-9833,,,,,
BUITRAGO PANIAGUA JOHN BYRON,TARJETA DE DESARROLLO PARA EL LABORATORIO DE MICROCONTROLADORES,Colombia,REVISTA COLOMBIANA DE FISICA,2006,,818 - 821,Pontificia Universidad Javeriana,,0120-2650,,,,,
COBALEDA ESTEPA LUZ VIVIANA,PERSONALIZACIÓN DE CONTENIDOS EN SISTEMAS HIPERMEDIA EDUCATIVOS ADAPTATIVOS: UNA REVISIÓN,Colombia,REVISTA FACULTAD DE INGENIERIA UNIVERSIDAD DE ANTIOQUIA,2009,,217 - 226,Universidad De Antioquia,,0120-6230,,,,,Q4
